"Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction! ",,,,,,,,,,,A-Bomb,,,,,,//i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16.jpg,
AIM is a terrorist organization bent on destroying the world.,,,,,,,,,,,A.I.M.,,"",Base of Operationssecret,,,//i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec.jpg,
"Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.",,,,,,,,,,,Abomination (Emil Blonsky),,,,,,//i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04.jpg,
"",,,,,,,,,,,Abomination (Ultimate),,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,,,,,,,Aegis (Trey Rollins),,,,,,//i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d.gif,
"Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother.",,,,,,,,,,,Agent X (Nijo),,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,,,,,,,Agents of Atlas,,"","Base of OperationsTemple of Atlas, located within a huge concealed cavern beneath San Francisco",,,//i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5.jpg,
"",,,,,,,,,,,Akemi,,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,,,,,,,Albert Cleary,,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,,,,,,,Alex Power,,,,,,//i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a385a2e82.jpg,
"",,,,,,,,,,,Alexa Mendez,,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,,,,,,,Alexander Pierce,,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,,,,,,,Alice,,,,,,//i.annihil.us/u/prod/marvel/i/mg/6/70/4cd061e6d6573.jpg,
"",,,,,,,,,,,Alpha Flight,,"","Base of OperationsDepartment H, Ontario, Canada; formerly Tamarind Island, British Columbia, Canada; Mansion Alpha, Winnipeg, Canada",,,//i.annihil.us/u/prod/marvel/i/mg/1/60/52695277ee088.jpg,
"",,,,,,,,,,,Alpha Flight (Ultimate),,"","Base of OperationsDepartment H, Ontario, Canada; formerly Tamarind Island, British Columbia, Canada; Mansion Alpha, Winnipeg, Canada",,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,,,,,,,Alvin Maker,,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,,,,,,,Amanda Sefton,,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,,,,,,,Amazoness,,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,,,,,,,American Eagle (Jason Strongbow),,,,,,//i.annihil.us/u/prod/marvel/i/mg/f/80/4ce5a6d8b8f2a.jpg,
